,SHFLX,LHFLX,FLNS,FSNS,FSDS,FLDS,TREFHT,TS,PSL,PRECT,U200,U500,U850,V200,V500,V850,T200,T500,T850,Q200,Q500,Q850,OMEGA200,OMEGA500,OMEGA850,Z200,Z500,Z850
CTRLEN10,0.34772684339013665,0.3480288639120274,0.3020612726899144,0.3760428726897943,0.3810328277550296,0.34841652511424664,0.4061338025128536,0.48680710027594765,0.4292184897135148,inf,0.3914975716588167,0.37101727411123264,0.38054601614503875,0.353220214698225,0.33305840590061636,0.3367010200101462,0.4017934438287338,0.391401667689272,0.3687571587511682,0.34844355057108295,0.3434418665967163,0.3435408514629395,0.2958674361236123,0.29455362150932396,0.29650310641209693,0.4636406647121276,0.4344252495328119,0.41956367674785605
CAPTEN10,0.35700108981742495,0.3539423593972181,0.3038349065262668,0.3685576269978345,0.3732396839288405,0.33942517916160486,0.4015805825514979,0.48178478018602017,0.4471137961913602,inf,0.390095158028931,0.37875847989714095,0.36457100844021517,0.3670442331092877,0.3373495715086905,0.33565245433866114,0.3918741986886642,0.36759088660308087,0.3621131387556484,0.3475363218898746,0.3402718630507228,0.32819040990543186,0.2890108967364367,0.2941186711473433,0.28976325601260605,0.447334273631356,0.4575622159228529,0.4347494611371476
DARTEN20,0.3952253689306711,0.3942956216412512,0.32901234974601745,0.40743035712330417,0.41227242490123134,0.3964645310719232,0.4546034236368233,0.5073608719130931,0.4771461555273118,inf,0.4433692411198753,0.437162945994014,0.41827413117254486,0.4089614394356255,0.37322839962648835,0.37408739526969265,0.4340513350301766,0.43020459234208813,0.419871257350986,0.38794658504884133,0.3902822269400162,0.37999351218507227,0.3285513805565341,0.32566472045158057,0.32738509569752616,0.5226491877114879,0.47431454810437695,0.4795070438278902
DARTEN40,0.4152869565276935,0.41221416136796296,0.34213723441197025,0.42230666036858533,0.42693591751939963,0.41301950646428937,0.4694272412344845,0.5147903975888056,0.5030879301079757,inf,0.46253178968197195,0.44607997189818205,0.4365372164914543,0.4403490560932297,0.406895645975064,0.3927213195238862,0.4592289467879347,0.4468885757855062,0.43689979478067603,0.41401191260846937,0.4053794212704179,0.4020605487865108,0.34566799841976337,0.3449133675668455,0.34662084587469644,0.5312450514721865,0.5174775102104,0.5027172410200723
