,SHFLX,LHFLX,FLNS,FSNS,FSDS,FLDS,TREFHT,TS,PSL,PRECT,U200,U500,U850,V200,V500,V850,T200,T500,T850,Q200,Q500,Q850,OMEGA200,OMEGA500,OMEGA850,Z200,Z500,Z850
CTRLEN10,27.15873467459237,68.24886271568698,64.61886674694331,69.33286052806865,75.47894068712284,36.239871832646145,3.9360990954574904,3.3850667281417315,1104.7859876019838,5.108403548288816e-05,19.6646547776683,14.18293559965574,9.4812504309814,17.67802156025618,12.076958642988064,7.850961019450478,5.413661554210268,4.761485694254403,5.604135316604475,1.949250708459914e-05,0.0012844766193770888,0.0027627201193229423,0.0984827396414319,0.21508815054539462,0.20559105679157763,105600.73863998211,49658.46025097236,12710.45201957837
CAPTEN10,27.809410744777434,69.71147145039647,64.90480965669522,69.74299949273279,75.81705264474377,36.36276158147333,3.9599110073664567,3.3511803923929304,1149.7272990974939,5.108449509103111e-05,20.303052815244566,14.250487438998547,9.692832012181555,18.5103728895325,12.265840521368819,8.11391255367017,5.638723834628164,4.892572115257039,5.61580708697575,2.1210284672178884e-05,0.0013567130411807865,0.002800592480779667,0.09878087447807957,0.21647782778094826,0.20643287388830858,105581.42264115518,49652.339378916244,12709.019394848974
DARTEN20,27.21018277668092,69.77181495877684,65.85317482511802,71.22685127561513,77.42148713669867,36.62749841895259,4.0127823827237075,3.420121244734932,1507.8969240998704,5.1085283889147483e-05,20.64280807351868,14.398288916380244,9.792117666543298,18.508125058383122,12.294469288374179,8.070134418971843,5.797318831923532,4.965111798046742,5.575080528603178,2.1994981247042356e-05,0.0013956730754602644,0.002834763852536544,0.10265422792611638,0.219833687169927,0.2082405058509345,105645.67531498466,49720.08169218045,12776.978497955588
DARTEN40,27.63103055021636,70.22919828136529,65.9123571527581,71.99796216652834,78.13561844682445,36.590828995711256,4.0040741057814895,3.416549648503252,1142.948321534433,5.1085414289163715e-05,20.657351854492436,14.45962600874106,9.82540436615671,18.691215198936415,12.47456958187135,8.148118415297835,5.933338133828975,4.913451380537944,5.6097629754704315,2.122037532266943e-05,0.00138062639944152,0.0028124265161617134,0.10334053401970789,0.22242587586753854,0.2110674044816078,105600.58419310191,49667.26691404139,12718.552342284924
