,SHFLX,LHFLX,FLNS,FSNS,FSDS,FLDS,TREFHT,TS,PSL,PRECT,U200,U500,U850,V200,V500,V850,T200,T500,T850,Q200,Q500,Q850,OMEGA200,OMEGA500,OMEGA850,Z200,Z500,Z850
CTRLEN10,25.385438686499704,27.29649770929676,70.79563928205594,44.96922862634857,52.10591920412075,39.811161890250965,6.584339368124269,7.4038040409170955,1073.607952547605,3.552004711753396e-05,15.922947284377553,12.165963834122582,7.380441750902064,13.011188499978157,10.21747439938662,6.2889305354498735,5.3526383841601275,4.507256375946143,6.351711486576771,1.4268712427554323e-05,0.000959630140691724,0.0021171207763727266,0.09903054908924613,0.1932636494004026,0.21525338355775378,104219.64951448221,49106.868676654434,12654.879810128443
CAPTEN10,25.459851387973277,26.849679935026206,72.26978163318849,44.19288104951739,51.59788967586832,40.88972497764633,7.111628031820619,7.875038586752251,1224.6713319180174,3.551896904271973e-05,15.312093740329106,12.079940354941176,7.887294241081556,13.391089767431218,10.142851362827296,6.354376787567565,4.122836043075835,4.554581480053148,5.983744151453956,1.4895289272275794e-05,0.0008805439018838997,0.0019938794584016175,0.0981575876355103,0.1920560005184277,0.21349423539230225,104208.65145467952,49102.53443691478,12658.58953190315
DARTEN20,25.197984484978097,27.555071615731045,72.66869856644598,44.689786345786366,51.64586148277662,40.87019920963862,6.706788680961675,7.468323237233472,1343.7439973322785,3.5520484417321616e-05,15.427906526303213,11.706795610357622,7.555752801524206,13.713600439094957,10.391443781886688,6.551125199470655,5.191353778098559,4.594449932383844,5.917847470450359,1.612433103619947e-05,0.0009231808969274018,0.002025071681611947,0.09861141135850944,0.19341252123752115,0.2124400639547082,104252.54494543117,49162.85564960471,12709.92006626263
DARTEN40,25.31410926765352,26.743892432341244,73.39834686885263,44.11312434512451,51.01983346327953,39.60883671647935,6.759142132910958,7.5381962482103955,1032.2573535708186,3.5521361748404094e-05,14.906020916141994,11.46650192552499,7.433716772040314,13.22362268315071,10.180309297623728,6.408114883223805,5.071546410035048,4.453859995576406,5.9366800891915394,1.5193622585909718e-05,0.000847084768019241,0.001980882385476408,0.09596229514029637,0.19138405430872232,0.21339581275054514,104218.42927133573,49115.04017127563,12659.283413851512
