,SHFLX,LHFLX,FLNS,FSNS,FSDS,FLDS,TREFHT,TS,PSL,PRECT,U200,U500,U850,V200,V500,V850,T200,T500,T850,Q200,Q500,Q850,OMEGA200,OMEGA500,OMEGA850,Z200,Z500,Z850
CTRLEN10,24.08215933550467,25.58786731617564,70.87735309046471,42.60706893324888,49.13989457317412,37.37597788091147,6.903055387123143,7.874181131956123,780.9414909638012,3.6316586045227296e-05,14.79381523726876,10.989544203375784,6.492868354606786,14.126821580890459,9.746876302325683,5.825005816360699,6.29336029829665,4.014680954666323,6.562718029739172,1.484783836347243e-05,0.0008771535885477817,0.0019369366720561117,0.08933658402890289,0.1794067011027609,0.20178338762584788,104347.16325482282,49224.36612998051,12615.708710750892
CAPTEN10,19.801738539828204,21.95248296208169,69.67794393495862,37.45483949602081,42.26860106357389,27.631831987247857,4.746868902980603,5.844723463548398,682.8714694677229,3.631261803460594e-05,9.827572287398697,7.798169802739068,5.30339583199777,9.83306399823827,7.256614137002175,4.854968228946085,3.351345103377659,2.480643404486339,4.232368016034538,1.0624319773854282e-05,0.0006404180146903085,0.0014820333446586623,0.08438778215702256,0.1696384487082478,0.19119939703014027,104351.0305175852,49207.66681252714,12606.441403999714
DARTEN20,21.30124706821046,24.195666463611982,69.8381005290649,39.20913554311105,44.78991935887588,29.63219000363577,5.026813069285093,5.989812089749748,1062.8071539299817,3.631443133325258e-05,10.948273721223858,8.663156846235246,5.974938743691918,11.110673864914821,8.226531548355245,5.372873644699611,3.7533429707480743,2.9171463076737534,4.541975651879236,1.2459718918794412e-05,0.0007371636917661992,0.001647229496806229,0.0912417557682523,0.17775219269957282,0.19702943874847628,104421.7875976253,49280.83654297192,12670.9480027226
DARTEN40,20.6255906021826,22.95526558344193,69.86651054618599,39.04835491116128,44.67652679595297,29.200728077451156,5.035351371261424,6.044424402578749,675.3942209109343,3.63143064445437e-05,10.14307525438451,8.124774043373764,5.631696070473741,10.007897600977335,7.137252892106434,4.958374609619113,3.3995541851913322,2.740744182485128,4.336475751187516,1.2184064240084949e-05,0.0006748577527243561,0.0016253659616217932,0.08897281721455773,0.17128635886736307,0.1940781547340314,104373.9681744252,49224.54898378963,12620.698623323704
