,SHFLX,LHFLX,FLNS,FSNS,FSDS,FLDS,TREFHT,TS,PSL,PRECT,U200,U500,U850,V200,V500,V850,T200,T500,T850,Q200,Q500,Q850,OMEGA200,OMEGA500,OMEGA850,Z200,Z500,Z850
CTRLEN10,27.709105182796534,30.09714657057374,73.77961427390001,49.00919103125055,57.169674495596276,43.725311346536,7.181777662894015,7.990639915146285,1155.9235165702055,3.5522881834326064e-05,17.54088082971045,13.394156725838142,8.127219686046784,14.345226683254081,11.215978856513487,6.884427114508593,5.779187723519905,4.932031536416098,6.926475091700331,1.585138696278606e-05,0.0010553240070314991,0.002321661679825619,0.10967112342625603,0.2119966098553422,0.23142933785787229,104234.50215589671,49119.127691713875,12662.032499399942
CAPTEN10,27.895428051014484,29.341989327766527,75.33261853874002,47.831460468768626,56.05535667588814,44.52925168563126,7.608599204987378,8.371767631753036,1322.974983833758,3.5521915580523406e-05,16.684140854056757,13.125476943231986,8.58591997741099,14.716686888186956,11.104881404009353,6.964774397836219,4.476092356630863,4.922750884900886,6.437648313398067,1.6813068246826318e-05,0.000972518973339537,0.0021970831241701926,0.10898738705607877,0.20952258994883874,0.22855250731680446,104225.1777577514,49114.17522810959,12665.243917285803
DARTEN20,28.14907847251249,31.171898455825524,76.4315345262731,49.192665120025445,57.319446720135076,45.58364269736822,7.37477858962983,8.133174356411137,1526.4250379537652,3.5523420275558446e-05,17.52805304709295,13.176553132735837,8.445017539389413,15.519574833060563,11.623847183531948,7.27345215770246,5.937559850698963,5.150403875720208,6.536332275694305,1.855766596025843e-05,0.0010632422173227475,0.0022792896867614844,0.11172283549977394,0.21459208042537833,0.23065430265266326,104278.30695681604,49180.75395784561,12723.09304514644
DARTEN40,28.26586488400159,29.915734083753836,77.3503052865799,48.56816662956399,56.66425999667363,44.54435779776736,7.499353986142688,8.279356836066103,1175.4958860539707,3.55241475574771e-05,17.016438220110416,13.029497645191602,8.382047400446861,15.019124862319513,11.45996563736195,7.1841453992689,5.767170363030466,5.050533045120672,6.641254547336287,1.7643989659970467e-05,0.0009748251098988692,0.002242407004925417,0.10868159180537602,0.21374361491787391,0.2327856685678625,104245.18903795436,49136.17677435037,12671.271208800265
