,SHFLX,LHFLX,FLNS,FSNS,FSDS,FLDS,TREFHT,TS,PSL,PRECT,U200,U500,U850,V200,V500,V850,T200,T500,T850,Q200,Q500,Q850,OMEGA200,OMEGA500,OMEGA850,Z200,Z500,Z850
CTRLEN10,0.33654875890318,0.330134814816138,0.2877229339400516,0.37539319959748313,0.3773599906166782,0.3378891662559775,0.40135973601959907,0.47181334045088685,0.4042419445421946,0.3011383490896566,0.37076506327282766,0.3677199750952629,0.34425442016030633,0.3546568108023216,0.3299876283088344,0.32268873671934767,0.35268612820054324,0.3569365747808279,0.3739624194850101,0.3323261671608074,0.33781146392306227,0.3374551733196093,0.2785581414684604,0.2815801459983153,0.2827878278194325,0.37302214042651655,0.36126133284825573,0.39152467974205934
CAPTEN10,0.345234632298334,0.34568975078677866,0.2589679246683035,0.38113986893817664,0.3827069479637737,0.34536251482083136,0.406042447765938,0.47569899715514496,0.4290480752663511,0.30918763410969075,0.3957973238030323,0.3814796660155754,0.36103002843532994,0.3629443681005626,0.33675233608184685,0.333615746527814,0.34185259927695577,0.3727743198195707,0.37259698556271903,0.33503181513867863,0.3318286806721634,0.337234227276582,0.2837433602306714,0.2845263305916477,0.2859563105521781,0.434515538088343,0.41670298047193916,0.430272253770579
DARTEN20,0.3715333646362221,0.3767326567848638,0.31355471266495333,0.4037110687474249,0.4048256705725272,0.3684456759825694,0.4235429353538018,0.48182258412278955,0.43932659304423644,0.34177300550959094,0.41747524583639806,0.4021302185356028,0.3830443425821438,0.3884351267162123,0.3650076096062239,0.3478212704426334,0.3983960109537401,0.39620935556212483,0.403108265316817,0.3684199275632445,0.36325664374978955,0.3665653124167502,0.31445723640249607,0.313614623282417,0.31407607541575755,0.43551479983911545,0.40453862200443397,0.4313324849219984
DARTEN40,0.3853713524030971,0.3908150690557159,0.32383580595686967,0.4239491568263236,0.42463580070412893,0.3898672992479814,0.4444731469275291,0.48971516645189384,0.4638164581796818,0.36417168637241926,0.4305301292299328,0.4185989288809811,0.40331775318118546,0.39685437836537873,0.3837986006347171,0.3695211407124563,0.40233499699683556,0.415565701992104,0.4217097554089139,0.3899590843579921,0.3878801527394878,0.3846356040732904,0.32903101768117987,0.32852757978220015,0.32864845436534024,0.4746770489725118,0.4310415994409279,0.4564733527769484
