,SHFLX,LHFLX,FLNS,FSNS,FSDS,FLDS,TREFHT,TS,PSL,PRECT,U200,U500,U850,V200,V500,V850,T200,T500,T850,Q200,Q500,Q850,OMEGA200,OMEGA500,OMEGA850,Z200,Z500,Z850
CTRLEN10,0.2145406091413837,0.1957416081777524,0.16375013927946866,0.33038991620367153,0.33380840276935964,0.2111261399192087,0.24731034095935242,0.2758071054621713,0.245464076032226,0.12041358239061879,0.2055908694324164,0.2047084348629069,0.2047126974512916,0.20004574451458404,0.18013304060297747,0.1941747941807778,0.20130799800734758,0.22362918002679752,0.20766393527950724,0.17058593555035667,0.18964214365967497,0.21353016564865165,0.15842318043348455,0.1558063559686696,0.16208586903821295,0.17905639329018064,0.15722017662772553,0.23184447514889658
CAPTEN10,0.2494099766885514,0.21196291619296465,0.14252669200976184,0.33440184780469934,0.3406682539483752,0.22822657950407974,0.2697701930225305,0.2951929200160023,0.2633212179233787,0.1340114303999553,0.2576803228386661,0.24960045993613642,0.21220897012506176,0.21657385156471806,0.19073917725566328,0.20530096909040013,0.18471491461750777,0.25120977762194957,0.2344402920990183,0.1907667169479994,0.1946702173050717,0.23436027636194792,0.1623775686410021,0.16159395251251044,0.17172708429417646,0.27559986679380405,0.2525627293700608,0.2715657720254577
DARTEN20,0.2478925058126111,0.22327646598246376,0.16970515050260027,0.3382440435098277,0.3407025259153404,0.22340823564971277,0.28090193890026616,0.299377798680448,0.2697596244169448,0.1330170833972579,0.2354337089717479,0.2269834015810432,0.21414473332352021,0.2271617091343642,0.2195857008169639,0.20265111164023414,0.2436363674520842,0.2402292178660118,0.2518235813038387,0.21656962882055666,0.1974461422520136,0.24074706843885568,0.1782635696885784,0.1746560394946911,0.17927616938888724,0.21171038379613266,0.2188677854077403,0.27331492378226024
DARTEN40,0.2320390893790479,0.2207710027097729,0.1754843503942697,0.34320971208071505,0.3443826144074933,0.2238565253010393,0.2845371835514883,0.30573319228506485,0.2494813372984878,0.1197079954350797,0.21790368198929352,0.22844550302292962,0.21764825908853053,0.20979213943029792,0.2062271340627685,0.19758146111074992,0.21902871866876922,0.2506020013866117,0.24742165763436078,0.20429007181846628,0.20487890256506067,0.23548382946360896,0.1806427936289846,0.1739531836759177,0.18132817039074267,0.25344032662380855,0.2003398772222258,0.23820917149824766
