,SHFLX,LHFLX,FLNS,FSNS,FSDS,FLDS,TREFHT,TS,PSL,PRECT,U200,U500,U850,V200,V500,V850,T200,T500,T850,Q200,Q500,Q850,OMEGA200,OMEGA500,OMEGA850,Z200,Z500,Z850
CTRLEN10,0.1479236009724492,0.15495616177409505,0.1131726455896941,0.23100423264176165,0.2326968367087595,0.15446196363866377,0.14119264592293396,0.17971523354812452,0.23071082911537488,0.15536504154886832,0.1413526178875961,0.11624659973447539,0.1647259524077615,0.15110555553679705,0.15766453417697,0.11871009391042624,0.19129835536095488,0.1643514764751955,0.1342857928053965,0.1513929792474133,0.18152897288523015,0.15489413699504193,0.22295455514890725,0.20725443497226875,0.1852508235033331,0.13119354997525046,0.10679591198169876,0.22155622213399495
CAPTEN10,0.32878696534035984,0.3057798423411313,0.04765190460658953,0.3990150348070206,0.40755189973435846,0.4423795552129284,0.4044814572441594,0.39117012637051335,0.30766535294986397,0.2644175690188257,0.4921690412776614,0.4633644353301562,0.353372899853648,0.5010807662738381,0.4371951959738194,0.37731262067596627,0.5135367133195621,0.5312187694406783,0.4019471782380366,0.46730138903205154,0.48153847375742026,0.39712412917630174,0.32800782565289205,0.28770295695912856,0.2401563882853676,0.5510586774912075,0.44493503859421074,0.2954240774563083
DARTEN20,0.40573788012830103,0.4066596878473187,0.22171236806737,0.5061252449301675,0.5167166487567533,0.5398686341890596,0.4992623381083951,0.51130046299725,0.5105069196585358,0.4047742523254468,0.5593631153365107,0.49590571383917115,0.44585263049771523,0.524692557881557,0.4717275792560881,0.43933243650454634,0.5687518178997703,0.526603532301869,0.4822944585794195,0.5024168090455071,0.500421197749901,0.4927290086668784,0.3911554089560782,0.3558242379987785,0.33126828525888036,0.5106103830666222,0.5306447858383847,0.507210141124014
DARTEN40,0.475741012363649,0.42910459278236507,0.21020091853164763,0.5299215550479341,0.5386116757244195,0.5764755175945594,0.584739471140231,0.5793113054833259,0.638827464670922,0.4749336709018181,0.6159666290044363,0.5771210255817392,0.5003863690238156,0.6229282747064734,0.5912734058046006,0.5107521190202696,0.622166380679195,0.5835022234131554,0.5731286224196636,0.5268553457586586,0.5544801488898538,0.5246561393866774,0.42943123719953735,0.4037242859528641,0.3640971695413799,0.6290865251421585,0.6189524219294513,0.5959225185002137
