,SHFLX,LHFLX,FLNS,FSNS,FSDS,FLDS,TREFHT,TS,PSL,PRECT,U200,U500,U850,V200,V500,V850,T200,T500,T850,Q200,Q500,Q850,OMEGA200,OMEGA500,OMEGA850,Z200,Z500,Z850
CTRLEN10,28.95931504889679,31.82080567747724,75.18704718427297,51.051939759166586,59.82990355175891,45.79702455941988,7.515962757458557,8.324307722514769,1203.450435739001,3.552424929752287e-05,18.427730429090214,14.050832735916808,8.509194272278007,15.113248441331907,11.756749620431929,7.199584807345851,5.9994850771989405,5.15128089010686,7.2033727281403985,1.6820160499808778e-05,0.0011067960388912493,0.002432315923637574,0.11632646495744794,0.22389820800113497,0.24074829312085028,104242.98157035328,49126.53018915528,12666.272676581091
CAPTEN10,28.852995063049807,30.614960339020286,76.64512332354106,49.39536580037781,58.10443588524533,46.049372817125764,7.836111953630885,8.609149811167104,1375.5722267087344,3.5523015321932943e-05,17.3963184558084,13.671397467768937,8.900855708692264,15.357735441097468,11.541391176173496,7.253812284294789,4.683808822709491,5.093580522018416,6.655196885167283,1.7727602260917584e-05,0.0010159836454450562,0.0022861553434831627,0.11493266042875769,0.21924583964462155,0.23635025413162425,104232.04029714152,49119.09552240716,12668.494951112052
DARTEN20,29.719164618886467,33.07801903610219,78.31993065659759,51.60637319281378,60.34487543813744,48.00139045139825,7.723551989003057,8.490075235618972,1602.9782402043684,3.5524708101838464e-05,18.674892353015405,13.940892892923552,8.941362147318637,16.531338516287803,12.317695686606834,7.662875768388724,6.319610155869514,5.45775543359691,6.875654854657739,1.9985596656562654e-05,0.0011476305112508734,0.0024242876166435203,0.11993263564077779,0.2274539204849955,0.2410494202132536,104293.77049310836,49190.55808751373,12729.781043262818
DARTEN40,29.901576177593427,31.767860920487106,79.54680230626735,51.09752323402605,59.96094156035738,47.31879002900582,7.8965878009892005,8.676394721633809,1254.3769830531742,3.552554146400813e-05,18.22541275624002,13.889594884918779,8.921218808311718,16.017528589400925,12.22357119068608,7.6329394569863345,6.1947817837474535,5.3729314465516325,7.0636756347422995,1.9106888347867486e-05,0.0010480040616819457,0.0023980794745305837,0.11729826610633778,0.2282879837585836,0.24484151120636743,104259.5678709708,49146.171691356394,12677.293186031106
