,SHFLX,LHFLX,FLNS,FSNS,FSDS,FLDS,TREFHT,TS,PSL,PRECT,U200,U500,U850,V200,V500,V850,T200,T500,T850,Q200,Q500,Q850,OMEGA200,OMEGA500,OMEGA850,Z200,Z500,Z850
CTRLEN10,24.851230367045943,27.763550327870256,73.94774384010638,48.65461097289176,57.81986439743473,37.78847500440993,6.630899191744708,7.518103932448281,1053.8003182346756,3.617737393529485e-05,13.982312907663204,11.491399855585781,7.337500800064048,13.745829262881585,9.986019330104243,6.39293965847933,4.83009244352978,4.206487340417409,7.003816622274998,1.601806177723013e-05,0.0009924174999994921,0.0020501581206866766,0.09489373486144473,0.19825222922504884,0.2234730113062676,104307.21553375978,49119.07554870173,12526.66377294979
CAPTEN10,23.86790736933611,26.228986676207303,74.67545458723677,47.01804004412231,55.83216427413614,36.51238621257924,6.222402560916878,7.087004752816715,994.5068210211408,3.617757461429705e-05,14.703325812245971,11.08532153574859,7.154658458137836,13.329727114707936,9.85646538933449,6.193929386173926,5.303436460435189,4.2310991634406285,6.512130049594631,1.5266484467389263e-05,0.0009336078753226321,0.0019655095844858307,0.0924846779149964,0.19582191986632128,0.2212615436485619,104298.83061018596,49107.23085912994,12522.370701455622
DARTEN20,24.71671660480786,27.241009500441628,75.78880609211711,48.40454952388107,57.066179310682415,37.59948768487481,6.35985432765341,7.260476537204618,1231.2933399296262,3.617801476716017e-05,15.035148271811074,11.360457154602415,7.347520818292679,13.676878624236874,9.89896852045018,6.389856290585079,5.544514509840837,4.526303228313981,6.6769894471629385,1.684111681655741e-05,0.0009858632519676026,0.002019006577665565,0.09471300813045806,0.19781947734972785,0.22078263671487028,104341.7692321521,49164.712035391734,12579.172355678531
DARTEN40,25.203931440573708,27.950814540652065,75.7199359707539,49.38690842885715,58.18524532519153,38.224189756363344,6.456897261734724,7.318391228579854,1048.674454149109,3.617840099825428e-05,15.201490108353775,11.67773010900351,7.5802113180448965,14.086280379740552,10.327261933484333,6.5428737728307835,5.6420348828324505,4.424893299096943,6.831541999730351,1.6687153258573683e-05,0.000995033402229781,0.002092572294604094,0.09534954833158509,0.2000988539697851,0.22420500798838466,104293.57350466072,49114.905495280946,12530.021119674737
