,SHFLX,LHFLX,FLNS,FSNS,FSDS,FLDS,TREFHT,TS,PSL,PRECT,U200,U500,U850,V200,V500,V850,T200,T500,T850,Q200,Q500,Q850,OMEGA200,OMEGA500,OMEGA850,Z200,Z500,Z850
CTRLEN10,26.243617367467365,65.40178093536223,63.819309305944806,69.24554467957584,74.88831254433448,35.34410472488204,3.8008683211674588,3.313069578917053,1038.107517141229,5.213871931407988e-05,18.859516820767936,13.623329282529212,9.148666572519481,17.04328190463669,11.739232119880665,7.6913361021672,5.100808214766598,4.585380360735431,5.44846439972667,1.7991027460678257e-05,0.0012480181549880064,0.002727710402547032,0.09995273509901298,0.21386487834601287,0.2013031159822635,105390.09119842932,49592.451561918606,12696.079780196193
CAPTEN10,26.168155039158744,64.43338003822751,63.48650077493431,68.20730997589385,73.76330151466242,34.48907031649095,3.6890406637501845,3.185347051878075,1064.3880807253001,5.21375727422671e-05,17.97578680337069,13.071243970760671,9.088084115365158,16.78809620832674,11.73998935512237,7.755008795637228,4.951427748199456,4.521008356919101,5.165843798769441,1.8265411561380803e-05,0.0012281791165540768,0.0026440377947263855,0.09802051914659707,0.21162024215119343,0.20196987869709077,105378.18906188024,49588.61127115111,12693.09735364133
DARTEN20,27.095751615874132,68.50115651140334,64.83912177239034,70.71047154103314,76.53088567169864,36.030421333979874,3.777470797454447,3.2321319464523777,1448.502479554026,5.214004590182112e-05,19.25880451277249,13.48727202539186,9.371514388565393,18.124353701276206,12.324101052508743,8.167427292243678,5.305234454574603,4.811298980093296,5.351512494560855,2.0297678972329426e-05,0.0013365488041077386,0.002794475607046748,0.10399333224495341,0.21959703754300128,0.20454638000054945,105444.06909577038,49658.71458799217,12764.860350520798
DARTEN40,27.162431728087487,67.5733574655758,64.99926574243744,71.16518255218067,76.96962236737393,35.99295130444345,3.7969004742622356,3.263307511053921,1055.9745732490971,5.214016174951635e-05,19.144811781492415,13.672700503172978,9.393710037164272,17.969812017635604,12.38940293223516,8.147598014878024,5.431378695423076,4.750095075825414,5.400664619420939,1.9453516175967293e-05,0.001298527999756854,0.0027808614070959966,0.10341021346552302,0.22206064342969845,0.20842245629577785,105400.26989449728,49607.3141906674,12706.807183948631
