,SHFLX,LHFLX,FLNS,FSNS,FSDS,FLDS,TREFHT,TS,PSL,PRECT,U200,U500,U850,V200,V500,V850,T200,T500,T850,Q200,Q500,Q850,OMEGA200,OMEGA500,OMEGA850,Z200,Z500,Z850
CTRLEN10,0.3486466801945461,0.3360339607899303,0.2760181048549869,0.4445005134769416,0.4477692682070066,0.3608086399575439,0.3975533240685057,0.4130742784958232,0.4303857224084471,0.29861617753818337,0.36310338931801145,0.36365743132713124,0.35198240273143905,0.351374038203067,0.32674202798833835,0.3343434222508478,0.3492164742525132,0.3702229472803791,0.36338477467061053,0.32493791430426794,0.3364382601826609,0.3621119857574371,0.2835315869659715,0.28448247519083886,0.2906914515871694,0.3411154059002398,0.3324574095459048,0.4112907335617547
CAPTEN10,0.37911298282987244,0.3475002495937116,0.25486621429144496,0.44656638717655833,0.44893173078290144,0.3714042783669915,0.41859023730171036,0.43402564345556904,0.4311930204991296,0.30759776338204886,0.4114377696393237,0.3985362250258595,0.36490964937422316,0.3627898726145212,0.325548525234476,0.3436729160987522,0.3441740579129716,0.39856658830084923,0.3773023177596863,0.3437685122340883,0.34398385068956183,0.3752326119105434,0.2854478326889532,0.28395312852611837,0.29866388464101506,0.4375813978880669,0.41587887908053167,0.445116855233726
DARTEN20,0.39765326983492655,0.38145340706748776,0.2958610783135304,0.46678203933439927,0.4677755309529399,0.3886192299114426,0.4366838254393848,0.4474496457728663,0.45054915079541413,0.344787009999282,0.4174582074806008,0.39990761560088517,0.37651778868852354,0.39320114384678484,0.3782885959401996,0.3584873235754292,0.4126505135388829,0.4095236259532536,0.4123509907045631,0.3887931245732528,0.36480627833193713,0.40678743441670284,0.3218611697600954,0.3160829427345139,0.3244446192513444,0.40768723324220996,0.40624732342383485,0.4567956479514082
DARTEN40,0.3967368029860305,0.38638705535527773,0.3020196209303268,0.4822842536761404,0.4825727808028328,0.407080895003828,0.4520420821004128,0.46747834085830015,0.46249784310122694,0.36318564882895565,0.41143738540268643,0.4159984721698848,0.3942969456894887,0.4004802460481687,0.3854451240767698,0.36863903998745357,0.40084053155203325,0.43179065492210056,0.4280459764725707,0.39076996134394965,0.38298195423431464,0.4135750919262936,0.3320057610182442,0.32838509340145133,0.3357853160345947,0.4751989255134796,0.42037081641928425,0.45771779510185
