,SHFLX,LHFLX,FLNS,FSNS,FSDS,FLDS,TREFHT,TS,PSL,PRECT,U200,U500,U850,V200,V500,V850,T200,T500,T850,Q200,Q500,Q850,OMEGA200,OMEGA500,OMEGA850,Z200,Z500,Z850
CTRLEN10,30.62952399378883,34.31491613592298,76.86504679689436,54.98904749507743,65.38819044486992,49.745547456031616,8.485700846084494,9.301915117965715,1300.3173453912989,3.215807970296572e-05,18.63853586247186,14.459887294738035,8.80473217261743,15.904668408376182,11.991962067935617,7.4633581753065315,5.532963813958087,5.261237005062634,8.157441923013964,1.8282499950767274e-05,0.0012105279082790924,0.002598069093371517,0.11404214839193255,0.23012232364305132,0.24917314563482545,104297.5190162752,49120.258472495625,12655.201057911692
CAPTEN10,30.26100113108179,33.220149668774056,78.45053750886869,53.01983835199713,62.830598156409,49.792492643829654,8.59595848987,9.383206528482708,1415.9402808078546,3.215823278794215e-05,18.67661964326644,13.925424819946526,9.136213902586839,16.126642826641145,11.724660298803686,7.592900160314395,5.899880638667496,5.211461879778902,7.713306120075396,1.9830530154057652e-05,0.001172758710892664,0.0025832280606657666,0.11218436729158396,0.2274792467347795,0.24811853751366603,104260.02874651641,49107.85325810712,12658.611654614982
DARTEN20,30.67362572647506,33.516510042050136,80.55800695371215,54.756288033964495,64.78738488735931,50.69441277476376,8.8401185277931,9.597088451442792,1694.5589574399617,3.215901399297234e-05,19.918296816300867,14.75606738000566,9.066143493265468,17.209517361329752,12.28033576809327,7.663854800576163,6.569320424296554,5.601682040819371,7.863242098572054,2.1043890228867536e-05,0.0012247935147416899,0.002613967947005876,0.1170504795247273,0.231096032654556,0.2503198962981233,104334.29999057858,49182.97939507633,12715.85217807417
DARTEN40,31.206576578094605,33.779600652966735,81.46076626207743,55.29489050973144,65.01617761949555,50.175179148830686,8.846200771549631,9.640885458019227,1364.353959720201,3.215927690259327e-05,19.29623268391435,14.608279411319351,9.13415951196851,17.25664117312241,12.404149831992134,7.741515314703761,6.717037211565779,5.414769889602621,7.908332189594022,2.0412932048322776e-05,0.0012357065511782188,0.002577862626328279,0.11801376825151035,0.23314566183095894,0.25307031785825085,104284.5437801561,49129.61674428026,12662.139079399918
