,SHFLX,LHFLX,FLNS,FSNS,FSDS,FLDS,TREFHT,TS,PSL,PRECT,U200,U500,U850,V200,V500,V850,T200,T500,T850,Q200,Q500,Q850,OMEGA200,OMEGA500,OMEGA850,Z200,Z500,Z850
CTRLEN10,26.759929754054415,29.112584825776466,71.22320970481391,47.503906178176635,56.38127329256246,43.00500411244276,7.436943269281371,8.208720574094528,1116.9352364645747,3.215298274701191e-05,16.061056793923644,12.454615171112252,7.4708767876201,13.770562053708232,10.287039688777794,6.4722858184764345,4.846440880402652,4.484608920610729,7.185662531088814,1.559310333201559e-05,0.0010290749547937298,0.0022189358010157863,0.09504855114368761,0.19790013694125588,0.22210694844108003,104261.69156855394,49093.95177059014,12642.235644539878
CAPTEN10,26.544687082887283,28.832863994767738,73.51756798423197,46.95912650342937,55.638688074612176,44.19817964333856,7.6706699754556364,8.428312852085769,1221.8735499083273,3.2153609089580674e-05,16.146421913315415,12.121123525118863,8.018710237541777,13.938715657716147,10.32345326917537,6.669628946531152,5.2250033871044685,4.567290250662837,6.921377012296752,1.696443130457383e-05,0.0010100438223786155,0.0022474682027157607,0.09385496717711272,0.19787354445540484,0.22357890245874393,104229.21845957353,49086.45046699159,12644.609512448558
DARTEN20,25.93520896309738,27.700251512336894,74.12047933945792,47.00365295197431,55.203879403794865,42.70534243215724,7.453245555137591,8.229570210480302,1420.0400067540784,3.215400179478794e-05,16.158367443274592,12.235472439691549,7.612921041343465,14.320660603786646,10.268607220053276,6.4717185744906205,5.37151864737421,4.593450478675117,6.6668564898555465,1.7302476086571057e-05,0.0010161224188067793,0.0021641500400106694,0.09464059212289824,0.19513111690035376,0.21986406084850643,104294.79610903749,49150.78995065902,12694.344419083192
DARTEN40,26.121597938890275,27.799359445261285,74.69023926206438,46.9563154022631,55.03789837866402,42.30682244325793,7.460107678618955,8.250443571291777,1134.0046532465026,3.21538014256838e-05,15.801911258802816,12.062280746857022,7.572844318576673,14.220418501603067,10.269390639304508,6.448334436831186,5.640742451098753,4.434768900883745,6.676946928510519,1.6487741467755253e-05,0.0010083872472742153,0.0021466256690313578,0.09363877763675758,0.19424193462284875,0.22002010919250933,104244.09561073506,49101.0513120863,12645.397277440035
