,SHFLX,LHFLX,FLNS,FSNS,FSDS,FLDS,TREFHT,TS,PSL,PRECT,U200,U500,U850,V200,V500,V850,T200,T500,T850,Q200,Q500,Q850,OMEGA200,OMEGA500,OMEGA850,Z200,Z500,Z850
CTRLEN10,0.06556946480546963,0.06947916737660177,0.03768233802022194,0.13835425983488636,0.14246177211662964,0.068047813170038,0.06295080277796188,0.10009547284910715,0.16051230778666314,0.06261805137664687,0.05819952033940976,0.0356325276627122,0.08811927367173142,0.07280902569103463,0.08271378031706407,0.04419860794393769,0.11029230994503147,0.0870962654252007,0.056172633024791106,0.06547806662146209,0.10080116589501756,0.07520625138540267,0.10942204063555384,0.09914625299033109,0.08529222467702671,0.058955475370531245,0.03701324973459587,0.15361797699737567
CAPTEN10,0.24808571384330386,0.23119756286783683,-0.024293229917361,0.31547980012843185,0.326216451787119,0.3681560159922842,0.3396068097769608,0.3227702914608249,0.23778995299845052,0.17386394067752609,0.42665976682025686,0.39262424122308,0.2793075763747173,0.43130732444564224,0.3658802633387116,0.3079769830662216,0.4438517540552534,0.4682477906119175,0.3397892347374992,0.3864118814103816,0.41476834737714074,0.3309664513591425,0.22847148984330398,0.18988515272220188,0.14831955197936278,0.49961726745886936,0.3760807450959779,0.22549816174376808
DARTEN20,0.2456707434061313,0.2401343814749906,0.07736024063466948,0.35529915156690434,0.37120392594118695,0.3852778455096638,0.34567165022503465,0.3659179211500524,0.3658448827071871,0.20170149393750425,0.41690259824066783,0.34609866170155945,0.29169365274745357,0.3804301876206396,0.32248741081320326,0.2890577694612755,0.4535072926479322,0.3840757039644205,0.3358076294727482,0.35401306722969705,0.3544104461672964,0.34023689133619517,0.21892684723608927,0.18321817716444252,0.16678914789167854,0.35184859778061467,0.3815430263574016,0.36383874134103394
DARTEN40,0.3214236903925297,0.26607495925821967,0.054983343495807566,0.37759589213481165,0.3918506961239921,0.4270574124028058,0.44330563768341696,0.44113292559364486,0.520893239618435,0.2651926716740929,0.48365020988473906,0.4322579514902752,0.35390281157428494,0.4858142082778834,0.4493720846937202,0.36300097729886616,0.5160583123081585,0.4359200837118639,0.434430558185112,0.37860473848420034,0.4059695746649611,0.37572548240757425,0.2545098525157911,0.22283931760829165,0.19270581575547857,0.49314890469752887,0.48614409711783346,0.4759581983942711
