,SHFLX,LHFLX,FLNS,FSNS,FSDS,FLDS,TREFHT,TS,PSL,PRECT,U200,U500,U850,V200,V500,V850,T200,T500,T850,Q200,Q500,Q850,OMEGA200,OMEGA500,OMEGA850,Z200,Z500,Z850
CTRLEN10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAPTEN10,0.003350857517938011,-0.012704714350134105,0.010415002414935112,-0.012161530764605534,-0.009841620781013072,0.00910933453720952,0.028858057229105775,0.02329288740146158,0.06738939381194092,-1.3600627179151118e-05,-0.02503256195335124,-0.01013135347037308,0.027445489034422732,0.012781684317508488,-0.004977292595690139,0.00580158236964106,-0.12706579992985273,-0.0009417408846223618,-0.03657754148811415,0.029441216082405585,-0.04083404607432239,-0.02756928329859759,-0.0031269597907212145,-0.00586929351652966,-0.006254226272724651,-4.4729983991028684e-05,-5.041532206573978e-05,0.00012679681119385228
DARTEN20,0.007876612895810433,0.017541515210310506,0.017654616674964357,0.001868336261305073,0.0013081786544294047,0.02080789514026401,0.013258694116086201,0.008839995230922802,0.13812579306991354,7.57873691371167e-06,-0.00036578764163641784,-0.008189604051247731,0.01917652088969927,0.039322148153737274,0.017857768544442446,0.027477635295099667,0.013516731172696337,0.021658689629814452,-0.028979306125326152,0.07865020300108046,0.0037375325822830495,-0.009209398163138023,0.009267245066083351,0.006084246088024914,-0.001677261727666277,0.00021008206213197646,0.0006269210613237189,0.0024053670973321266
DARTEN40,0.009946583277144108,-0.003022892499775769,0.023626632125950092,-0.004519741180321692,-0.004439928226823859,0.009278911535199934,0.021631596994058064,0.017745358240363773,0.008395044435906787,1.7815286041846125e-05,-0.015176021289265835,-0.013800478750068087,0.015435434720694169,0.022949533825718554,0.010759718560537198,0.021304100644666635,-0.0010407922913318215,0.011870848191029872,-0.02102198023930374,0.0535179143490067,-0.039651716448467635,-0.017364917220680547,-0.0045318035996497275,0.004103453140849735,0.002921772651068333,5.126102209980825e-05,0.00017351819048494187,0.0003646863238501331
