,SHFLX,LHFLX,FLNS,FSNS,FSDS,FLDS,TREFHT,TS,PSL,PRECT,U200,U500,U850,V200,V500,V850,T200,T500,T850,Q200,Q500,Q850,OMEGA200,OMEGA500,OMEGA850,Z200,Z500,Z850
CTRLEN10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CAPTEN10,-0.09310169580278205,-0.07075556305554702,-0.008493440957688357,-0.06051166243140975,-0.07038803955117594,-0.14366040872392502,-0.18013806083034165,-0.1447584386664684,-0.05735225031004291,-5.2424023376480925e-05,-0.1929876102434499,-0.1608949381164036,-0.09277819508917487,-0.16952258019518185,-0.13885287754448597,-0.08652721000740692,-0.2960920001657087,-0.22685435914386579,-0.21020459408442627,-0.1525072843954242,-0.14802570313633448,-0.12725921051262803,-0.027120312879591782,-0.026951356635894014,-0.026671976450564627,1.8408976562197743e-05,-0.00016932874484360355,-0.000359733370107112
DARTEN20,-0.03828736254132673,-0.0031600545660373366,-0.00027452148408168685,-0.02395850313829555,-0.026232761007774368,-0.0906302865030037,-0.13466412495081737,-0.1173108515196866,0.183462789530756,-1.4672014499967842e-05,-0.12159581818428199,-0.09213133526089559,-0.01929202820114068,-0.09162765942600352,-0.05918726526580069,-0.016684016658278913,-0.22442536386092557,-0.1285473020123701,-0.15860704015139743,-0.057676427776545344,-0.06350393006560597,-0.05890061916466253,0.029336987725124438,0.01126049345273422,-0.0002616648187321207,0.00040138992954163327,0.000641501405790516,0.0024201390365948014
DARTEN40,-0.05508601281754263,-0.028470480019176903,-3.452667758308918e-05,-0.026830257429662326,-0.02813066235124412,-0.09611385881759317,-0.1342110903284172,-0.11300164418820695,-0.04181487094854741,-1.6005208060437877e-05,-0.1540254950690787,-0.12045654782869358,-0.04520771792592948,-0.13770106995332168,-0.12290069880433242,-0.054184355282227405,-0.2704768237760257,-0.1564699512139606,-0.18136663944594822,-0.07034868262721482,-0.10655602985955058,-0.06549884442704201,0.017519481675213708,-0.006155484887968578,-0.006744046785107547,0.0001522621732725963,3.7637803004291776e-05,0.0002871409049104977
