,SHFLX,LHFLX,FLNS,FSNS,FSDS,FLDS,TREFHT,TS,PSL,PRECT,U200,U500,U850,V200,V500,V850,T200,T500,T850,Q200,Q500,Q850,OMEGA200,OMEGA500,OMEGA850,Z200,Z500,Z850
CTRLEN10,29.281005270901694,32.449447149406346,74.93156830725921,52.29586979584036,62.124658942116206,47.600090529148524,8.131475568712343,8.915148246404318,1241.8304680099707,3.215631929440203e-05,17.793580820164085,13.785049756053875,8.299681376629284,15.15468796117292,11.425282804095128,7.123607455043952,5.27897869079237,4.992119694262434,7.822492905888216,1.7328856220491173e-05,0.0011562367116812414,0.0024647018979959056,0.10692171435582608,0.21778069512237008,0.239182695829125,104286.1915701557,49111.024202334214,12650.462846707222
CAPTEN10,28.950914578886607,31.78254063083959,76.83629075525461,51.12520435457686,60.45950544357922,47.928364853449416,8.302155905891215,9.075023914626223,1381.5975806631357,3.215674962033834e-05,17.66493048088725,13.277165232063394,8.788160019210661,15.362055416060226,11.327524991891254,7.322633373184091,5.658232412974385,4.976053028323359,7.450367584213861,1.8887916711716743e-05,0.0011190524042957195,0.002456320998634234,0.10563015191747752,0.21747447471325493,0.24007810305392333,104250.09824050483,49101.8868745528,12654.305796988147
DARTEN20,28.985958491687487,31.395976375191267,78.43107838552329,52.21482315237872,61.54921288948742,47.966951581380556,8.364201317042644,9.127000051156543,1599.027985363833,3.215740262597523e-05,18.613675300585435,13.851341753074456,8.568665870337654,16.17212086108585,11.56554505802999,7.250518713222997,6.186276616827093,5.249334946742512,7.429737881850174,1.9729169012199893e-05,0.001152988204171408,0.0024511801834718725,0.10831047381089794,0.21742145131013033,0.2392492138307102,104321.33018437898,49171.46561116223,12708.50847957814
DARTEN40,29.322933476907064,31.547751054616903,79.14397042096198,52.369507530980314,61.45878662556877,47.40939484321402,8.34871496123342,9.139447879236373,1279.6816693140395,3.2157395046072966e-05,17.997148809908047,13.69470132607449,8.564832565030537,16.15100008582745,11.615494101316454,7.259076334193143,6.323017473380018,5.049701417983025,7.461967224529504,1.8936488500777267e-05,0.0011521692663199476,0.0024255618404685616,0.10810247503886054,0.21783180414984327,0.24049859131083517,104271.17245299582,49118.99929569049,12655.896551486663
