,SHFLX,LHFLX,FLNS,FSNS,FSDS,FLDS,TREFHT,TS,PSL,PRECT,U200,U500,U850,V200,V500,V850,T200,T500,T850,Q200,Q500,Q850,OMEGA200,OMEGA500,OMEGA850,Z200,Z500,Z850
CTRLEN10,0.43487960203814496,0.4097390728112021,0.32265910738682774,0.5230773195346833,0.5288095725389694,0.4861066666002575,0.5284768493422811,0.5257929869616436,0.5377349960436563,0.4398412238708811,0.4716898836361686,0.4520518485055794,0.46187116634490505,0.4452856177755224,0.40075210424804447,0.408798472615728,0.4536542752277175,0.48859013824746317,0.5091464938778063,0.42846016076098675,0.4352521836453029,0.4674568998617678,0.3577220327006718,0.36404900838981524,0.36549092861523913,0.5697199864108208,0.5634670774994781,0.5638244569847503
CAPTEN10,0.40150815489474984,0.3850159841874044,0.339358827624661,0.49263050621878923,0.5013905899905305,0.43035934887957267,0.4731679283782713,0.46820280856557434,0.432116668305222,0.3960311809092645,0.4371175102140243,0.42602127663045775,0.406072483594255,0.3825880225149504,0.3951129007472742,0.37226537820943223,0.5077852576438603,0.41898475184665396,0.4579570682884504,0.40000599849198276,0.3950077784149313,0.42036336506514277,0.3557354416411323,0.3432061629040412,0.3518868486318602,0.5028411538037616,0.48669864373002397,0.4549653852672751
DARTEN20,0.47971464336009695,0.46481047696149486,0.39398191093244556,0.5531656535427174,0.5583955866012072,0.5157345189305196,0.5542286953056963,0.5479880637244859,0.532901811784648,0.4965884779900217,0.48547569859604417,0.5151349651297464,0.4794921289364844,0.5019073265469494,0.49183392993527814,0.4648019505054676,0.5388455242040888,0.505253444411077,0.5506643517422312,0.4656817736621405,0.4592446127952066,0.5131363942494473,0.406565153553869,0.4004148953632319,0.41251909372575424,0.513660975851442,0.566499226705126,0.5631050294236472
DARTEN40,0.5099309533211942,0.498775275268452,0.40795881204197626,0.5812175231889077,0.5869740077390697,0.575007267811082,0.6016238059770577,0.5989107785635698,0.6001085627822607,0.5619858802930503,0.5549912397789162,0.568848006384791,0.526026123968548,0.5612583669467084,0.5334098653979931,0.5043050633044542,0.5603747522461471,0.5495027615929973,0.5811869006909391,0.5043216155262581,0.5110600409549791,0.5594471166295765,0.4425130334236684,0.4323368204540213,0.44032616772179267,0.563344157985336,0.6181944939273921,0.6283123985287603
