,SHFLX,LHFLX,FLNS,FSNS,FSDS,FLDS,TREFHT,TS,PSL,PRECT,U200,U500,U850,V200,V500,V850,T200,T500,T850,Q200,Q500,Q850,OMEGA200,OMEGA500,OMEGA850,Z200,Z500,Z850
CTRLEN10,0.12067693523186201,0.12607563641623334,0.08754324575377638,0.20090333169740351,0.20324359697089983,0.12607264110325658,0.11546447785550049,0.15266018466354275,0.2070757154200546,inf,0.11462772664982712,0.08832458376662974,0.13980268640918164,0.12547080184681786,0.1323248482732808,0.093439669210908,0.16492799628406604,0.13872354579841112,0.10859509704456867,0.12240350425118088,0.15561219985490168,0.12837891270433582,0.18620572436603644,0.171454469538219,0.15201309956711792,0.10650180978561463,0.08419100846969071,0.19998451590065644
CAPTEN10,0.30180513027413947,0.28151612179768576,0.024695806063942283,0.3732482396021718,0.3824524463947449,0.41953953041164643,0.3827996774391528,0.3688544546908616,0.2845500057284681,inf,0.47219495124816674,0.4408891367916759,0.3294843839658048,0.4793023381909048,0.41404708100239324,0.3545995485895662,0.49070010458595686,0.5123561039397845,0.3818010963011193,0.44108146985465274,0.459939700458536,0.37591912496177954,0.29673849677893005,0.25655866261397625,0.21031065485863293,0.5356687372784589,0.42165569455017377,0.27258544553607006
DARTEN20,0.35390079118047346,0.3520833987165329,0.17492009750841128,0.45771876024499786,0.46955167545838633,0.4915749556193506,0.44864240542668304,0.46549377286263055,0.4648076470559561,inf,0.5143202813538488,0.4479955764983842,0.3962868094112111,0.4794542774841451,0.4250028279354166,0.3908134045726344,0.5325955317634731,0.48238549174875534,0.43638252254523724,0.45405850682369175,0.4533306662173251,0.4437942119170469,0.3348423958244794,0.2995497739880281,0.2775426283557093,0.45796697790632174,0.48404390033841116,0.46621000758332204
DARTEN40,0.4244280267309947,0.37454588750907924,0.15854571906116635,0.4785186342133205,0.48910322677091533,0.52763719140232,0.5389580896538981,0.5342580057089773,0.602836347546014,inf,0.5728215588511522,0.5286291155711196,0.4527632472751177,0.5778951182846795,0.5452795649054429,0.46242104286082697,0.5865803046314995,0.5366690152816553,0.5284992578150245,0.4764345993842407,0.5057387480751363,0.47652246464948456,0.3700139219437541,0.3417661835631299,0.30628383629405176,0.5830952943809551,0.5767629383082448,0.5564518524929027
