,SHFLX,LHFLX,FLNS,FSNS,FSDS,FLDS,TREFHT,TS,PSL,PRECT,U200,U500,U850,V200,V500,V850,T200,T500,T850,Q200,Q500,Q850,OMEGA200,OMEGA500,OMEGA850,Z200,Z500,Z850
CTRLEN10,0.3606017923582174,0.3559888376704627,0.279534479804382,0.44976303254272176,0.46300894266578824,0.3682455003343018,0.40909938693513465,0.4236959068358503,0.46713958822053003,inf,0.4003615323062636,0.35018662861087424,0.3743630510188401,0.3668337338785948,0.3145433502986804,0.33370996596223823,0.3829773937836994,0.3990820724885743,0.3948520332590022,0.3309422505138438,0.3321391616872806,0.3563934322988262,0.30357623821237756,0.29175031471035767,0.30665753045464356,0.44500991051842054,0.38592728876093846,0.40128831763997513
CAPTEN10,0.3528543061668866,0.3361178167528892,0.28208436311015356,0.43503018593473153,0.4450065317552764,0.36300482237976633,0.40493821667558905,0.4165831812022179,0.44263228987216424,inf,0.41695974717157036,0.390645429779803,0.33407112586344717,0.37134008039841154,0.3386576236449468,0.31616995278968846,0.39745193439216425,0.38312736303919903,0.38450680223993366,0.3527061661421574,0.35047962545639477,0.3440827407708923,0.28994185336276784,0.29039454532206993,0.29177907167023615,0.43855118576790664,0.430758382912761,0.3717337861892257
DARTEN20,0.3946693390437239,0.3900482737663139,0.3133851124452133,0.48294475782447815,0.4941450460225937,0.42874862464968644,0.4643638555166162,0.47008501683370363,0.5022290854579837,inf,0.4396543024097503,0.42485106835037956,0.39790496445952,0.41052118350982986,0.37036831956667193,0.3731734404571032,0.4195581569835668,0.43312396804964365,0.4418181991698528,0.402720798788871,0.38832754503726596,0.402147965256183,0.32428022052953254,0.32146728068727737,0.3348938777561382,0.5144044418564332,0.4659347702544459,0.46608110892566224
DARTEN40,0.430577596834579,0.40397574551334925,0.31943356495734465,0.49630026504922364,0.507537963230455,0.44734853114126744,0.4833537332123534,0.49163682003219833,0.5434694566752369,inf,0.4790189324515806,0.4494678649581921,0.4276031050726625,0.45403374900764704,0.42034217244063005,0.40254599147690356,0.4619813267124777,0.466435862459975,0.4638113347002224,0.42868056120719783,0.41305162056426514,0.42947160059311207,0.3495756569700037,0.3471289917890393,0.35689906369639807,0.5291451822610149,0.5121985866940518,0.4926069721521246
